id,firstName,lastName,group,DateOfBirth
1,Augustus,Dowyer,6a,12.06.2000
2,Livi,Truitt,6a,13.06.2000
3,Salmon,Cullum,5a,14.06.2000
4,Denny,Kareman,5b,15.06.2000
5,Welch,Ledgard,5b,16.06.2000
6,Wain,Deveraux,5b,17.06.2000
7,Vally,Forrest,6c,18.06.2000
8,Marlin,Oxteby,6c,19.06.2000
9,Ava,Lindley,6c,20.06.2000
10,Rozella,Scarborough,7d,21.06.2000
11,Kira,Scartifield,7d,22.06.2000
12,Kalila,Wilse,7d,23.06.2000
13,Lee,Du Plantier,8a,24.06.2000
14,Riannon,Menel,10d,25.06.2000
15,Joleen,Luetkemeyers,12c,26.06.2000
16,Jeanette,Brittan,12a,27.06.2000
25,Erim,Medi,Lehrer,21.02.1996
26,Ensar,Medi,Lehrer,06.05.2000
